Year,Geographical coverage,Age of child,Sex,Area of residence,Birthweight (grams),Type of registration,"Socio-economic classification ",Value
2000,"England and Wales ",,,,,,,3.9
2001,"England and Wales ",,,,,,,3.6
2002,"England and Wales ",,,,,,,3.6
2003,"England and Wales ",,,,,,,3.6
2004,"England and Wales ",,,,,,,3.5
2005,"England and Wales ",,,,,,,3.4
2006,"England and Wales ",,,,,,,3.5
2007,"England and Wales ",,,,,,,3.3
2008,"England and Wales ",,,,,,,3.2
2009,"England and Wales ",,,,,,,3.1
2010,"England and Wales ",,,,,,,2.9
2011,"England and Wales ",,,,,,,2.9
2012,"England and Wales ",,,,,,,2.8
2013,"England and Wales ",,,,,,,2.7
2014,"England and Wales ",,,,,,,2.5
2015,"England and Wales ",,,,,,,2.6
2000,"England and Wales ","Early Neonatal ",,,,,,2.9
2001,"England and Wales ","Early Neonatal ",,,,,,2.7
2002,"England and Wales ","Early Neonatal ",,,,,,2.7
2003,"England and Wales ","Early Neonatal ",,,,,,2.8
2004,"England and Wales ","Early Neonatal ",,,,,,2.7
2005,"England and Wales ","Early Neonatal ",,,,,,2.6
2006,"England and Wales ","Early Neonatal ",,,,,,2.6
2007,"England and Wales ","Early Neonatal ",,,,,,2.5
2008,"England and Wales ","Early Neonatal ",,,,,,2.4
2009,"England and Wales ","Early Neonatal ",,,,,,2.4
2010,"England and Wales ","Early Neonatal ",,,,,,2.3
2011,"England and Wales ","Early Neonatal ",,,,,,2.3
2012,"England and Wales ","Early Neonatal ",,,,,,2.2
2013,"England and Wales ","Early Neonatal ",,,,,,2
2014,"England and Wales ","Early Neonatal ",,,,,,2
2015,"England and Wales ","Early Neonatal ",,,,,,2.1
2000,"England and Wales ",Post-neonatal,,,,,,1.7
2001,"England and Wales ",Post-neonatal,,,,,,1.9
2002,"England and Wales ",Post-neonatal,,,,,,1.7
2003,"England and Wales ",Post-neonatal,,,,,,1.7
2004,"England and Wales ",Post-neonatal,,,,,,1.6
2005,"England and Wales ",Post-neonatal,,,,,,1.6
2006,"England and Wales ",Post-neonatal,,,,,,1.5
2007,"England and Wales ",Post-neonatal,,,,,,1.5
2008,"England and Wales ",Post-neonatal,,,,,,1.4
2009,"England and Wales ",Post-neonatal,,,,,,1.4
2010,"England and Wales ",Post-neonatal,,,,,,1.3
2011,"England and Wales ",Post-neonatal,,,,,,1.2
2012,"England and Wales ",Post-neonatal,,,,,,1.2
2013,"England and Wales ",Post-neonatal,,,,,,1.2
2014,"England and Wales ",Post-neonatal,,,,,,1.1
2015,"England and Wales ",Post-neonatal,,,,,,1.1
2000,"England and Wales ","Infant ",,,,,,5.6
2001,"England and Wales ","Infant ",,,,,,5.4
2002,"England and Wales ","Infant ",,,,,,5.2
2003,"England and Wales ","Infant ",,,,,,5.3
2004,"England and Wales ","Infant ",,,,,,5
2005,"England and Wales ","Infant ",,,,,,5
2006,"England and Wales ","Infant ",,,,,,5
2007,"England and Wales ","Infant ",,,,,,4.7
2008,"England and Wales ","Infant ",,,,,,4.6
2009,"England and Wales ","Infant ",,,,,,4.5
2010,"England and Wales ","Infant ",,,,,,4.3
2011,"England and Wales ","Infant ",,,,,,4.2
2012,"England and Wales ","Infant ",,,,,,4
2013,"England and Wales ","Infant ",,,,,,3.8
2014,"England and Wales ","Infant ",,,,,,3.6
2015,"England and Wales ","Infant ",,,,,,3.7
2008,,,,,,,,3.2
2009,,,,,,,,3.1
2010,,,,,,,,3
2011,,,,,,,,2.9
2012,,,,,,,,2.8
2013,,,,,,,,2.7
2014,,,,,,,,2.6
2015,,,,,,,,2.6
2008,,,Male,,,,,3.5
2009,,,Male,,,,,3.4
2010,,,Male,,,,,3.2
2011,,,Male,,,,,3.3
2012,,,Male,,,,,3.1
2013,,,Male,,,,,2.9
2014,,,Male,,,,,2.7
2015,,,Male,,,,,3
2008,,,Female,,,,,2.8
2009,,,Female,,,,,2.9
2010,,,Female,,,,,2.7
2011,,,Female,,,,,2.5
2012,,,Female,,,,,2.4
2013,,,Female,,,,,2.4
2014,,,Female,,,,,2.4
2015,,,Female,,,,,2.3
2008,"England and Wales ",,Male,,,,,3.5
2009,"England and Wales ",,Male,,,,,3.4
2010,"England and Wales ",,Male,,,,,3.2
2011,"England and Wales ",,Male,,,,,3.3
2012,"England and Wales ",,Male,,,,,3.1
2013,"England and Wales ",,Male,,,,,2.9
2014,"England and Wales ",,Male,,,,,2.7
2015,"England and Wales ",,Male,,,,,3
2008,"England and Wales ",,Female,,,,,2.8
2009,"England and Wales ",,Female,,,,,2.9
2010,"England and Wales ",,Female,,,,,2.7
2011,"England and Wales ",,Female,,,,,2.5
2012,"England and Wales ",,Female,,,,,2.5
2013,"England and Wales ",,Female,,,,,2.4
2014,"England and Wales ",,Female,,,,,2.4
2015,"England and Wales ",,Female,,,,,2.3
2008,"England  ",,,,,,,3.2
2009,"England  ",,,,,,,3.1
2010,"England  ",,,,,,,2.9
2011,"England  ",,,,,,,2.9
2012,"England  ",,,,,,,2.8
2013,"England  ",,,,,,,2.7
2014,"England  ",,,,,,,2.5
2015,"England  ",,,,,,,2.6
2008,"England  ",,Male,,,,,3.5
2009,"England  ",,Male,,,,,3.4
2010,"England  ",,Male,,,,,3.2
2011,"England  ",,Male,,,,,3.3
2012,"England  ",,Male,,,,,3.1
2013,"England  ",,Male,,,,,3
2014,"England  ",,Male,,,,,2.7
2015,"England  ",,Male,,,,,3
2008,"England  ",,Female,,,,,2.8
2009,"England  ",,Female,,,,,2.9
2010,"England  ",,Female,,,,,2.7
2011,"England  ",,Female,,,,,2.5
2012,"England  ",,Female,,,,,2.5
2013,"England  ",,Female,,,,,2.4
2014,"England  ",,Female,,,,,2.4
2015,"England  ",,Female,,,,,2.3
2008,Wales,,,,,,,2.9
2009,Wales,,,,,,,3.1
2010,Wales,,,,,,,2.7
2011,Wales,,,,,,,2.8
2012,Wales,,,,,,,2.8
2013,Wales,,,,,,,2.4
2014,Wales,,,,,,,2.1
2015,Wales,,,,,,,2.5
2008,Wales,,Male,,,,,3.4
2009,Wales,,Male,,,,,3.3
2010,Wales,,Male,,,,,3.2
