Year,i4_6_1_literacy_total,i4_6_1_literacy_male,i4_6_1_literacy_female,i4_6_1_literacy_24,i4_6_1_literacy_34,i4_6_1_literacy_44,i4_6_1_literacy54,I4_6_1_literacy_65,I4_6_1_literacy_lowinc,I4_6_1_literacy_highinc,I4_6_1_numeracy_total,I4_6_1_numeracy_male,I4_6_1_numeracy_female,I4_6_1_numeracy_24,I4_6_1_numeracy_34,I4_6_1_numeracy_44,I4_6_1_numeracy54,I4_6_1_numeracy_65,I4_6_1_numeracy_lowinc,I4_6_1_numeracy_highinc,I4_4_1_tech_total,I4_4_1_tech_male,I4_4_1_tech_female,I4_4_1_tech_24,I4_4_1_tech_34,I4_4_1_tech_44,I4_4_1_tech54,I4_4_1_tech_65,I4_4_1_tech_lowinc,I4_4_1_tech_highinc,i4_2_1learnapp_total,i4_2_1learnapp_male,i4_2_1learnapp_female,i4_2_1learnapp_indian,i4_2_1learnapp_lowses,i4_2_1learnapp_midses,i4_2_1learnapp_highses,i4_2_1interperson_total,i4_2_1interperson_male,i4_2_1interperson_female,i4_2_1interperson_indian,i4_2_1interperson_lowses,i4_2_1interperson_midses,i4_2_1interperson_highses,i4_2_1control_total,i4_2_1control_male,i4_2_1control_female,i4_2_1control_indian,i4_2_1control_lowses,i4_2_1control_midses,i4_2_1control_highses,i4_2_1reading_total,i4_2_1reading_male,i4_2_1reading_female,i4_2_1reading_indian,i4_2_1reading_lowses,i4_2_1reading_midses,i4_2_1reading_highses,i4_2_1math_total,i4_2_1math_male,i4_2_1math_female,i4_2_1math_indian,i4_2_1math_lowses,i4_2_1math_midses,i4_2_1math_highses,i4_2_2_total,i4_2_2_male,i4_2_2_female,i4_2_2_q1_low,i4_2_2_q2_middle_low,i4_2_2_q3_middle,i4_2_2_q4_middle_high,i4_2_2_q5_high,i4_3_1formal_total,i4_3_1formal_male,i4_3_1formal_female,i4_3_1formal_24,i4_3_1formal_34,i4_3_1formal_44,i4_3_1formal_54,i4_3_1formal_65,i4_3_1formal_lowquartile,i4_3_1formal_midquartiles,i4_3_1formal_highquartile,i4_3_1nonformal_total,i4_3_1nonformal_male,i4_3_1nonformal_female,i4_3_1nonformal_24,i4_3_1nonformal_34,i4_3_1nonformal_44,i4_3_1nonformal_54,i4_3_1nonformal_65,i4_3_1nonformal_lowquartile,i4_3_1nonformal_midquartiles,i4_3_1nonformal_highquartile,i4_7_1_total,i4_7_1_male,i4_7_1_female,i4_7_1_disabilities,i4_7_1_nodisabilities,i4_7_1_urban,i4_7_1_suburban,i4_7_1_town,i4_7_1_rural
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.390,91.097,93.731,86.476,91.646,94.729,92.919,95.048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.980,91.168,90.782,88.067,89.098,91.561,92.437,92.784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.533,90.435,92.687,89.575,89.559,91.739,91.871,94.306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.977646,2.845359,3.115808,3.037309,2.796023,2.977379,3.147576,3.026982,2.924207,3.131211,3.166667,2.895594,3.029192,3.139092,3.108358,3.005427,3.215757,3.149834,2.993382,3.107045,3.213469,47.420538,47.029853,47.825848,44.092835,41.349976,47.010854,54.320811,32.253096,32.671793,31.820628,29.120253,25.410956,32.082373,39.234278,92.377,91.833,92.949,89.393,91.404,89.684,94.620,95.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.576,92.616,92.533,91.571,90.569,92.094,91.141,96.354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,48,48,47,47,53,50,46,43,46,72,36,41,31,30,41,40,35,33,32,63,39,42,36,43,45,42,33,29,38,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.798,89.392,90.210,84.552,90.220,90.211,88.854,94.151,26,24,26,73,27,15,8,6,48,21,12,58,57,55,64,60,57,54,49,54,62,80,66,67,66,66,66,75,63,54,65
