Year,Branch of Government,Value
2000,,77.76327083
2001,,77.77899366
2002,,78.20593126
2003,,77.57799979
2004,,77.22714751
2005,,77.23573714
2006,,77.99573577
2007,,77.7456984
2008,,76.22072301
2009,,75.3866726
2010,,77.28504915
2011,,77.26711521
2012,,76.73790646
2013,,74.58281665
2014,,76.22321817
2015,,75.94990361
2016,,75.39741128
2000,Central Government,78.27571373
2001,Central Government,77.79410468
2002,Central Government,78.13375489
2003,Central Government,76.94136927
2004,Central Government,76.82339074
2005,Central Government,77.07599336
2006,Central Government,77.31339607
2007,Central Government,77.46696477
2008,Central Government,76.1628545
2009,Central Government,75.44307941
2010,Central Government,76.57076858
2011,Central Government,76.92322967
2012,Central Government,75.74248169
2013,Central Government,74.14622447
2014,Central Government,75.42398012
2015,Central Government,75.47179101
2016,Central Government,75.57497762
2000,Local Government,68.19182149
2001,Local Government,77.47573857
2002,Local Government,79.57735849
2003,Local Government,90.53179014
2004,Local Government,84.9338777
2005,Local Government,80.14338905
2006,Local Government,92.3886219
2007,Local Government,83.03195808
2008,Local Government,77.20667826
2009,Local Government,74.53693716
2010,Local Government,90.98732879
2011,Local Government,83.61606399
2012,Local Government,98.37785521
2013,Local Government,82.72593612
2014,Local Government,92.61649714
2015,Local Government,84.9790042
2016,Local Government,72.51768724
